MSN,StateCode,Year,Data
TEPRB,TX,2009,11914996.72
TEPRB,TX,2008,12060447.46
TEPRB,TX,2007,11372515.34
TEPRB,TX,2006,11000887.19
TEPRB,TX,2005,10833005.51
TEPRB,TX,2004,10804244.13
TEPRB,TX,2003,10914015.11
TEPRB,TX,2002,10868505.78
TEPRB,TX,2001,11197684.9
TEPRB,TX,2000,11271703.92
TEPRB,TX,1999,11106714.52
TEPRB,TX,1998,11699623.17
TEPRB,TX,1997,11876710.2
TEPRB,TX,1996,11954765.45
TEPRB,TX,1995,11819046.01
TEPRB,TX,1994,11868210.66
TEPRB,TX,1993,11706240.24
TEPRB,TX,1992,12005084.8
TEPRB,TX,1991,12211600.18
TEPRB,TX,1990,12243166.7
TEPRB,TX,1989,12112169.13
TEPRB,TX,1988,12364906.85
TEPRB,TX,1987,12283715.2
TEPRB,TX,1986,12613915.36
TEPRB,TX,1985,12748142.05
TEPRB,TX,1984,12910757.66
TEPRB,TX,1983,12526779.1
TEPRB,TX,1982,13197970.6
TEPRB,TX,1981,13757598.98
TEPRB,TX,1980,14086283.08
TEPRB,TX,1979,14350811.23
TEPRB,TX,1978,13940472.22
TEPRB,TX,1977,14833748.7
TEPRB,TX,1976,15253463.6
TEPRB,TX,1975,15722961.33
TEPRB,TX,1974,16681223.11
TEPRB,TX,1973,17243944.07
TEPRB,TX,1972,17401566.7
TEPRB,TX,1971,16777661.69
TEPRB,TX,1970,16716143.86
TEPRB,TX,1969,15583032.89
TEPRB,TX,1968,15074078.47
TEPRB,TX,1967,14637660.87
TEPRB,TX,1966,14016113.7
TEPRB,TX,1965,13328849.95
TEPRB,TX,1964,13132738.29
TEPRB,TX,1963,12702692.14
TEPRB,TX,1962,12365935.61
TEPRB,TX,1961,12216109.55
TEPRB,TX,1960,12066646.23
TEPRB,CA,2009,2605311.838
TEPRB,CA,2008,2657671.43
TEPRB,CA,2007,2747170.717
TEPRB,CA,2006,2954490.392
TEPRB,CA,2005,2961901.104
TEPRB,CA,2004,2919763.286
TEPRB,CA,2003,3093978.423
TEPRB,CA,2002,3098738.453
TEPRB,CA,2001,3055776.677
TEPRB,CA,2000,3270862.915
TEPRB,CA,1999,3334186.801
TEPRB,CA,1998,3459044.035
TEPRB,CA,1997,3362272.205
TEPRB,CA,1996,3507953.293
TEPRB,CA,1995,3506261.988
TEPRB,CA,1994,3319207.098
TEPRB,CA,1993,3498665.146
TEPRB,CA,1992,3433415.956
TEPRB,CA,1991,3434858.681
TEPRB,CA,1990,3452433.585
TEPRB,CA,1989,3600810.345
TEPRB,CA,1988,3523065.604
TEPRB,CA,1987,3604261.238
TEPRB,CA,1986,3814380.517
TEPRB,CA,1985,3808444.644
TEPRB,CA,1984,3763659.456
TEPRB,CA,1983,3678916.969
TEPRB,CA,1982,3501943.263
TEPRB,CA,1981,3185125.805
TEPRB,CA,1980,3057954.305
TEPRB,CA,1979,2980561.215
TEPRB,CA,1978,3026134.841
TEPRB,CA,1977,2806744.608
TEPRB,CA,1976,2767079.112
TEPRB,CA,1975,2879399.654
TEPRB,CA,1974,2978910.951
TEPRB,CA,1973,3038219.111
TEPRB,CA,1972,3081083.828
TEPRB,CA,1971,3351584.365
TEPRB,CA,1970,3454684.988
TEPRB,CA,1969,3520912.381
TEPRB,CA,1968,3406816.986
TEPRB,CA,1967,3339208.177
TEPRB,NM,2009,2412219.049
TEPRB,CA,1966,3166242.709
TEPRB,NM,2008,2461440.58
TEPRB,CA,1965,3009454.657
TEPRB,NM,2007,2533348.811
TEPRB,NM,2006,2651102.588
TEPRB,NM,2005,2750153.543
TEPRB,NM,2004,2733397.11
TEPRB,CA,1964,2832817.64
TEPRB,NM,2003,2693377.752
TEPRB,NM,2002,2713954.4
TEPRB,CA,1963,2844513.158
TEPRB,NM,2001,2780060.767
TEPRB,CA,1962,2692241.048
TEPRB,NM,2000,2728386.896
TEPRB,CA,1961,2619762.938
TEPRB,CA,1960,2630898.346
TEPRB,NM,1999,2576219.351
TEPRB,NM,1998,2596628.444
TEPRB,NM,1997,2668895.379
TEPRB,NM,1996,2597966.072
TEPRB,NM,1995,2685751.38
TEPRB,NM,1994,2626306.991
TEPRB,NM,1993,2538819.322
