introduction,StateCode,Year,Data
Other renewable energy,AZ,2009,5349.58505
Other renewable energy,AZ,2008,4565.91685
Other renewable energy,AZ,2007,3796.57252
Other renewable energy,AZ,2006,3520.52288
Other renewable energy,AZ,2005,3273.66851
Other renewable energy,AZ,2004,3243.49503
Other renewable energy,AZ,2003,3268.72431
Other renewable energy,AZ,2002,3409.63332
Other renewable energy,AZ,2001,3585.73204
Other renewable energy,AZ,2000,3801.16514
Other renewable energy,AZ,1999,4022.24655
Other renewable energy,AZ,1998,4092.30624
Other renewable energy,AZ,1997,4156.20525
Other renewable energy,AZ,1996,4202.49828
Other renewable energy,AZ,1995,4181.30159
Other renewable energy,AZ,1994,4161.33943
Other renewable energy,AZ,1993,4111.73926
Other renewable energy,AZ,1992,4026.18254
Other renewable energy,AZ,1991,3966.72008
Other renewable energy,AZ,1990,3918.15772
Other renewable energy,AZ,1989,3762.65728
Other renewable energy,AZ,1988,0
Other renewable energy,AZ,1987,0
Other renewable energy,AZ,1986,0
Other renewable energy,AZ,1985,0
Other renewable energy,AZ,1984,0
Other renewable energy,AZ,1983,0
Other renewable energy,AZ,1982,0
Other renewable energy,AZ,1981,0
Other renewable energy,AZ,1980,0
Other renewable energy,AZ,1979,0
Other renewable energy,AZ,1978,0
Other renewable energy,AZ,1977,0
Other renewable energy,AZ,1976,0
Other renewable energy,AZ,1975,0
Other renewable energy,AZ,1974,0
Other renewable energy,AZ,1973,0
Other renewable energy,AZ,1972,0
Other renewable energy,AZ,1971,0
Other renewable energy,AZ,1970,0
Other renewable energy,AZ,1969,0
Other renewable energy,AZ,1968,0
Other renewable energy,AZ,1967,0
Other renewable energy,AZ,1966,0
Other renewable energy,AZ,1965,0
Other renewable energy,AZ,1964,0
Other renewable energy,AZ,1963,0
Other renewable energy,AZ,1962,0
Other renewable energy,AZ,1961,0
Other renewable energy,AZ,1960,0
Other renewable energy,CA,2009,215854.7032
Other renewable energy,CA,2008,211438.0762
Other renewable energy,CA,2007,211350.9518
Other renewable energy,CA,2006,200916.2905
Other renewable energy,CA,2005,197028.4853
Other renewable energy,CA,2004,198806.5082
Other renewable energy,CA,2003,196756.119
Other renewable energy,CA,2002,196439.0418
Other renewable energy,CA,2001,187312.2702
Other renewable energy,CA,2000,186607.8528
Other renewable energy,CA,1999,192370.746
Other renewable energy,CA,1998,186141.0866
Other renewable energy,CA,1997,189320.791
Other renewable energy,CA,1996,187150.4429
Other renewable energy,CA,1995,177316.1267
Other renewable energy,CA,1994,202807.9511
Other renewable energy,CA,1993,211034.1521
Other renewable energy,CA,1992,207353.6042
Other renewable energy,CA,1991,209809.3434
Other renewable energy,CA,1990,202942.6277
Other renewable energy,CA,1989,185095.0111
Other renewable energy,CA,1988,104471.3246
Other renewable energy,CA,1987,110576.0648
Other renewable energy,CA,1986,105875.0316
Other renewable energy,CA,1985,96218.48354
Other renewable energy,CA,1984,80286.93192
Other renewable energy,CA,1983,63925.76278
Other renewable energy,CA,1982,50627.30966
Other renewable energy,CA,1981,59437.46184
Other renewable energy,CA,1980,52699.14465
Other renewable energy,CA,1979,40262.4857
Other renewable energy,CA,1978,30851.22443
Other renewable energy,CA,1977,37381.66573
Other renewable energy,CA,1976,37512.98981
Other renewable energy,CA,1975,33779.66583
Other renewable energy,CA,1974,25610.42511
Other renewable energy,CA,1973,20421.79236
Other renewable energy,CA,1972,15078.55931
Other renewable energy,CA,1971,5739.34546
Other renewable energy,CA,1970,5511.2704
Other renewable energy,CA,1969,6421.87537
Other renewable energy,CA,1968,4531.71875
Other renewable energy,CA,1967,3299.73549
Other renewable energy,CA,1966,1957.89502
Other renewable energy,CA,1965,1977.85394
Other renewable energy,CA,1964,2132.06144
Other renewable energy,CA,1963,1760.48335
Other renewable energy,CA,1962,1060.6778
Other renewable energy,CA,1961,1001.32365
Other renewable energy,CA,1960,359.03968
Other renewable energy,NM,2009,15695.56171
Other renewable energy,NM,2008,16789.71453
Other renewable energy,NM,2007,14719.23121
Other renewable energy,NM,2006,13365.69832
Other renewable energy,NM,2005,8844.46455
Other renewable energy,NM,2004,6032.75559
Other renewable energy,NM,2003,2749.84043
Other renewable energy,NM,2002,1103.04782
Other renewable energy,NM,2001,1135.64667
Other renewable energy,NM,2000,1140.281
Other renewable energy,NM,1999,1153.1699
Other renewable energy,NM,1998,724.41699
Other renewable energy,NM,1997,736.11369
Other renewable energy,NM,1996,751.94317
Other renewable energy,NM,1995,759.03783
Other renewable energy,NM,1994,748.53372
Other renewable energy,NM,1993,724.5066
Other renewable energy,NM,1992,719.04804
Other renewable energy,NM,1991,713.38882
Other renewable energy,NM,1990,700.2803
Other renewable energy,NM,1989,677.83704
Other renewable energy,NM,1988,0
Other renewable energy,NM,1987,0
Other renewable energy,NM,1986,0
Other renewable energy,NM,1985,0
Other renewable energy,NM,1984,0
Other renewable energy,NM,1983,0
Other renewable energy,NM,1982,0
Other renewable energy,NM,1981,0
Other renewable energy,NM,1980,0
Other renewable energy,NM,1979,0
Other renewable energy,NM,1978,0
Other renewable energy,NM,1977,0
Other renewable energy,NM,1976,0
Other renewable energy,NM,1975,0
Other renewable energy,NM,1974,0
Other renewable energy,NM,1973,0
Other renewable energy,NM,1972,0
Other renewable energy,NM,1971,0
Other renewable energy,NM,1970,0
Other renewable energy,NM,1969,0
Other renewable energy,NM,1968,0
Other renewable energy,NM,1967,0
Other renewable energy,NM,1966,0
Other renewable energy,NM,1965,0
Other renewable energy,NM,1964,0
Other renewable energy,NM,1963,0
Other renewable energy,NM,1962,0
Other renewable energy,NM,1961,0
Other renewable energy,NM,1960,0
Other renewable energy,TX,2009,198331.551
Other renewable energy,TX,2008,162281.225
Other renewable energy,TX,2007,91122.02824
Other renewable energy,TX,2006,68040.09642
Other renewable energy,TX,2005,44092.45758
Other renewable energy,TX,2004,33017.50253
Other renewable energy,TX,2003,27804.2492
Other renewable energy,TX,2002,28283.79638
Other renewable energy,TX,2001,13479.4881
Other renewable energy,TX,2000,6149.89901
Other renewable energy,TX,1999,4422.46381
Other renewable energy,TX,1998,1902.78487
Other renewable energy,TX,1997,1784.04178
Other renewable energy,TX,1996,1775.79413
Other renewable energy,TX,1995,857.12183
Other renewable energy,TX,1994,811.68702
Other renewable energy,TX,1993,780.00912
Other renewable energy,TX,1992,735.7391
Other renewable energy,TX,1991,695.371
Other renewable energy,TX,1990,614.3904
Other renewable energy,TX,1989,553.76989
Other renewable energy,TX,1988,0
Other renewable energy,TX,1987,0
Other renewable energy,TX,1986,0
Other renewable energy,TX,1985,0
Other renewable energy,TX,1984,0
Other renewable energy,TX,1983,0
Other renewable energy,TX,1982,0
Other renewable energy,TX,1981,0
Other renewable energy,TX,1980,0
Other renewable energy,TX,1979,0
Other renewable energy,TX,1978,0
Other renewable energy,TX,1977,0
Other renewable energy,TX,1976,0
Other renewable energy,TX,1975,0
Other renewable energy,TX,1974,0
Other renewable energy,TX,1973,0
Other renewable energy,TX,1972,0
Other renewable energy,TX,1971,0
Other renewable energy,TX,1970,0
Other renewable energy,TX,1969,0
Other renewable energy,TX,1968,0
Other renewable energy,TX,1967,0
Other renewable energy,TX,1966,0
Other renewable energy,TX,1965,0
Other renewable energy,TX,1964,0
Other renewable energy,TX,1963,0
Other renewable energy,TX,1962,0
Other renewable energy,TX,1961,0
Other renewable energy,TX,1960,0
Nuclear electric power,AZ,2009,320722.9615
Nuclear electric power,AZ,2008,305755.4347
Nuclear electric power,AZ,2007,280813.3696
Nuclear electric power,AZ,2006,250591.6427
Nuclear electric power,AZ,2005,269326.5065
Nuclear electric power,AZ,2004,293130.174
Nuclear electric power,AZ,2003,297843.1533
Nuclear electric power,AZ,2002,322260.0747
Nuclear electric power,AZ,2001,299965.5257
Nuclear electric power,AZ,2000,316838.975
Nuclear electric power,AZ,1999,317842.7274
Nuclear electric power,AZ,1998,317888.2631
Nuclear electric power,AZ,1997,307623.2148
Nuclear electric power,AZ,1996,302902.1823
Nuclear electric power,AZ,1995,283526.2151
Nuclear electric power,AZ,1994,242182.1841
Nuclear electric power,AZ,1993,231601.4355
Nuclear electric power,AZ,1992,268148.7605
Nuclear electric power,AZ,1991,263104.1156
Nuclear electric power,AZ,1990,217964.745
Nuclear electric power,AZ,1989,83079.97889
Nuclear electric power,AZ,1988,243215.0432
Nuclear electric power,AZ,1987,140531.7148
Nuclear electric power,AZ,1986,105540.3568
Nuclear electric power,AZ,1985,12004.66574
Nuclear electric power,AZ,1984,0
Nuclear electric power,AZ,1983,0
Nuclear electric power,AZ,1982,0
Nuclear electric power,AZ,1981,0
Nuclear electric power,AZ,1980,0
Nuclear electric power,AZ,1979,0
Nuclear electric power,AZ,1978,0
Nuclear electric power,AZ,1977,0
Nuclear electric power,AZ,1976,0
Nuclear electric power,AZ,1975,0
Nuclear electric power,AZ,1974,0
Nuclear electric power,AZ,1973,0
Nuclear electric power,AZ,1972,0
Nuclear electric power,AZ,1971,0
Nuclear electric power,AZ,1970,0
Nuclear electric power,AZ,1969,0
Nuclear electric power,AZ,1968,0
Nuclear electric power,AZ,1967,0
Nuclear electric power,AZ,1966,0
Nuclear electric power,AZ,1965,0
Nuclear electric power,AZ,1964,0
Nuclear electric power,AZ,1963,0
Nuclear electric power,AZ,1962,0
Nuclear electric power,AZ,1961,0
Nuclear electric power,AZ,1960,0
Nuclear electric power,CA,2009,332249.3898
Nuclear electric power,CA,2008,339538.015
Nuclear electric power,CA,2007,375284.2577
Nuclear electric power,CA,2006,333520.1688
Nuclear electric power,CA,2005,377312.5155
Nuclear electric power,CA,2004,315603.2578
Nuclear electric power,CA,2003,370922.8752
Nuclear electric power,CA,2002,358707.1343
Nuclear electric power,CA,2001,346911.4474
Nuclear electric power,CA,2000,366845.3417
Nuclear electric power,CA,1999,348735.9057
Nuclear electric power,CA,1998,362927.8152
Nuclear electric power,CA,1997,320194.1663
Nuclear electric power,CA,1996,358119.3206
Nuclear electric power,CA,1995,317794.0496
Nuclear electric power,CA,1994,352778.3811
Nuclear electric power,CA,1993,331723.5888
