StateCode,Year,Data,introduction
CA,2009,628201.1138,Renewable energy (other than fuel ethanol)
TX,2009,280479.6965,Renewable energy (other than fuel ethanol)
AZ,2009,80947.77168,Renewable energy (other than fuel ethanol)
NM,2009,29973.36798,Renewable energy (other than fuel ethanol)
CA,2008,588923.1704,Renewable energy (other than fuel ethanol)
TX,2008,271826.4007,Renewable energy (other than fuel ethanol)
AZ,2008,89571.43682,Renewable energy (other than fuel ethanol)
NM,2008,31942.04935,Renewable energy (other than fuel ethanol)
CA,2007,619834.682,Renewable energy (other than fuel ethanol)
TX,2007,192261.4163,Renewable energy (other than fuel ethanol)
AZ,2007,80288.21062,Renewable energy (other than fuel ethanol)
NM,2007,28791.63891,Renewable energy (other than fuel ethanol)
CA,2006,816875.8156,Renewable energy (other than fuel ethanol)
TX,2006,152714.6303,Renewable energy (other than fuel ethanol)
AZ,2006,81533.37169,Renewable energy (other than fuel ethanol)
NM,2006,25664.70975,Renewable energy (other than fuel ethanol)
CA,2005,738895.052,Renewable energy (other than fuel ethanol)
TX,2005,137564.5865,Renewable energy (other than fuel ethanol)
AZ,2005,78743.84169,Renewable energy (other than fuel ethanol)
NM,2005,21302.06495,Renewable energy (other than fuel ethanol)
CA,2004,696717.3346,Renewable energy (other than fuel ethanol)
TX,2004,120886.6667,Renewable energy (other than fuel ethanol)
AZ,2004,81735.55497,Renewable energy (other than fuel ethanol)
NM,2004,10298.52275,Renewable energy (other than fuel ethanol)
CA,2003,724528.9369,Renewable energy (other than fuel ethanol)
TX,2003,115899.6095,Renewable energy (other than fuel ethanol)
AZ,2003,84174.63139,Renewable energy (other than fuel ethanol)
NM,2003,7311.99791,Renewable energy (other than fuel ethanol)
CA,2002,675291.8556,Renewable energy (other than fuel ethanol)
TX,2002,121061.9406,Renewable energy (other than fuel ethanol)
AZ,2002,87119.08004,Renewable energy (other than fuel ethanol)
NM,2002,6708.40352,Renewable energy (other than fuel ethanol)
CA,2001,607385.3085,Renewable energy (other than fuel ethanol)
TX,2001,96563.3496,Renewable energy (other than fuel ethanol)
AZ,2001,90726.10341,Renewable energy (other than fuel ethanol)
NM,2001,6550.02322,Renewable energy (other than fuel ethanol)
CA,2000,736831.6503,Renewable energy (other than fuel ethanol)
AZ,2000,101173.029,Renewable energy (other than fuel ethanol)
TX,2000,96346.13836,Renewable energy (other than fuel ethanol)
NM,2000,7912.20047,Renewable energy (other than fuel ethanol)
CA,1999,760406.2774,Renewable energy (other than fuel ethanol)
AZ,1999,115266.0058,Renewable energy (other than fuel ethanol)
TX,1999,94267.21986,Renewable energy (other than fuel ethanol)
NM,1999,7885.34869,Renewable energy (other than fuel ethanol)
CA,1998,832443.5169,Renewable energy (other than fuel ethanol)
AZ,1998,126789.6308,Renewable energy (other than fuel ethanol)
TX,1998,110086.5272,Renewable energy (other than fuel ethanol)
NM,1998,7180.88409,Renewable energy (other than fuel ethanol)
CA,1997,759836.7348,Renewable energy (other than fuel ethanol)
AZ,1997,141734.1489,Renewable energy (other than fuel ethanol)
TX,1997,122677.2841,Renewable energy (other than fuel ethanol)
NM,1997,7913.06747,Renewable energy (other than fuel ethanol)
CA,1996,817468.1557,Renewable energy (other than fuel ethanol)
AZ,1996,112268.7753,Renewable energy (other than fuel ethanol)
TX,1996,110543.9195,Renewable energy (other than fuel ethanol)
NM,1996,6949.93737,Renewable energy (other than fuel ethanol)
CA,1995,845540.2014,Renewable energy (other than fuel ethanol)
TX,1995,117897.9075,Renewable energy (other than fuel ethanol)
AZ,1995,104031.3196,Renewable energy (other than fuel ethanol)
NM,1995,7463.53536,Renewable energy (other than fuel ethanol)
CA,1994,632921.4079,Renewable energy (other than fuel ethanol)
TX,1994,114104.0195,Renewable energy (other than fuel ethanol)
AZ,1994,93601.96834,Renewable energy (other than fuel ethanol)
NM,1994,6888.26566,Renewable energy (other than fuel ethanol)
CA,1993,820170.919,Renewable energy (other than fuel ethanol)
TX,1993,117234.4637,Renewable energy (other than fuel ethanol)
AZ,1993,86746.38756,Renewable energy (other than fuel ethanol)
NM,1993,7844.05615,Renewable energy (other than fuel ethanol)
CA,1992,641661.3891,Renewable energy (other than fuel ethanol)
TX,1992,133800.4001,Renewable energy (other than fuel ethanol)
AZ,1992,87592.987,Renewable energy (other than fuel ethanol)
NM,1992,7577.7747,Renewable energy (other than fuel ethanol)
CA,1991,652962.2816,Renewable energy (other than fuel ethanol)
TX,1991,120272.8576,Renewable energy (other than fuel ethanol)
AZ,1991,88844.17798,Renewable energy (other than fuel ethanol)
NM,1991,7253.94548,Renewable energy (other than fuel ethanol)
CA,1990,668856.618,Renewable energy (other than fuel ethanol)
TX,1990,115244.4985,Renewable energy (other than fuel ethanol)
AZ,1990,94816.36936,Renewable energy (other than fuel ethanol)
NM,1990,6724.90339,Renewable energy (other than fuel ethanol)
CA,1989,738333.7449,Renewable energy (other than fuel ethanol)
TX,1989,125398.6737,Renewable energy (other than fuel ethanol)
AZ,1989,101553.8173,Renewable energy (other than fuel ethanol)
NM,1989,7348.16428,Renewable energy (other than fuel ethanol)
CA,1988,511430.2155,Renewable energy (other than fuel ethanol)
TX,1988,108867.706,Renewable energy (other than fuel ethanol)
