MSN,StateCode,Year,Data
PMTCB,TX,2009,5445681.56
PMTCB,CA,2009,3508281.984
NNTCB,TX,2009,3462210.402
NNTCB,CA,2009,2391376.808
CLTCB,TX,2009,1497854.311
ELISB,CA,2009,999871.5237
PMTCB,AZ,2009,520822.3276
NUETB,TX,2009,434065.0738
CLTCB,AZ,2009,413259.9226
NNTCB,AZ,2009,376674.7907
NUETB,CA,2009,332249.3898
NUETB,AZ,2009,320722.9615
CLTCB,NM,2009,306161.5315
HYTCB,CA,2009,272187.2346
PMTCB,NM,2009,247337.7781
NNTCB,NM,2009,247119.5569
BMTCB,CA,2009,224662.5224
WYTCB,TX,2009,195454.7653
BMTCB,TX,2009,148263.5744
GETCB,CA,2009,127461.1205
ELISB,TX,2009,100588.547
HYTCB,AZ,2009,62730.8872
WYTCB,CA,2009,56996.57722
CLTCB,CA,2009,52403.09775
BMTCB,AZ,2009,35412.81309
SOTCB,CA,2009,31397.00543
BMTCB,NM,2009,17295.22312
WYTCB,NM,2009,15095.96768
HYTCB,TX,2009,10039.69525
ELNIB,CA,2009,8627.78792
SOTCB,AZ,2009,4732.12723
HYTCB,NM,2009,2644.59888
GETCB,TX,2009,2057.02446
SOTCB,TX,2009,819.76122
ELNIB,TX,2009,375.87227
GETCB,AZ,2009,329.09862
GETCB,NM,2009,317.06702
WYTCB,AZ,2009,288.3592
SOTCB,NM,2009,282.52701
NUETB,NM,2009,0
ELNIB,NM,2009,-301.02711
ELNIB,AZ,2009,-788.28411
ELISB,NM,2009,-165858.7168
ELISB,AZ,2009,-279871.5461
PMTCB,TX,2008,5659789.766
NNTCB,TX,2008,3657242.406
PMTCB,CA,2008,3633299.072
NNTCB,CA,2008,2475017.122
CLTCB,TX,2008,1605925.493
ELISB,CA,2008,1093156.141
PMTCB,AZ,2008,558536.401
CLTCB,AZ,2008,458726.7285
NUETB,TX,2008,425723.1986
NNTCB,AZ,2008,409965.9579
NUETB,CA,2008,339538.015
NUETB,AZ,2008,305755.4347
CLTCB,NM,2008,284345.6173
PMTCB,NM,2008,261817.0261
NNTCB,NM,2008,250857.9562
HYTCB,CA,2008,237755.436
BMTCB,CA,2008,228308.9487
BMTCB,TX,2008,173888.6988
WYTCB,TX,2008,159881.3638
GETCB,CA,2008,129142.7924
HYTCB,AZ,2008,71795.27831
ELISB,TX,2008,66610.35674
CLTCB,CA,2008,63050.16857
WYTCB,CA,2008,53063.34549
BMTCB,AZ,2008,35808.45171
SOTCB,CA,2008,29231.93828
WYTCB,NM,2008,16188.0231
BMTCB,NM,2008,16129.4421
ELNIB,CA,2008,16018.98515
HYTCB,TX,2008,10242.91137
SOTCB,AZ,2008,4200.04508
HYTCB,NM,2008,3077.28595
GETCB,TX,2008,1698.70833
SOTCB,TX,2008,701.15288
GETCB,AZ,2008,365.87177
GETCB,NM,2008,348.42218
SOTCB,NM,2008,253.26925
NUETB,NM,2008,0
WYTCB,AZ,2008,0
ELNIB,TX,2008,-177.03493
ELNIB,NM,2008,-269.31257
ELNIB,AZ,2008,-896.25061
ELISB,NM,2008,-136653.5518
ELISB,AZ,2008,-299182.0802
PMTCB,TX,2007,6081508.397
PMTCB,CA,2007,3837529.492
NNTCB,TX,2007,3642271.119
NNTCB,CA,2007,2441192.083
CLTCB,TX,2007,1609154.668
ELISB,CA,2007,1004480.132
PMTCB,AZ,2007,580019.9936
CLTCB,AZ,2007,438524.2236
NUETB,TX,2007,429413.4896
NNTCB,AZ,2007,401991.6341
NUETB,CA,2007,375284.2577
CLTCB,NM,2007,296066.66
NUETB,AZ,2007,280813.3696
PMTCB,NM,2007,280359.6192
HYTCB,CA,2007,270107.4899
NNTCB,NM,2007,240560.6914
BMTCB,CA,2007,225390.7083
BMTCB,TX,2007,138555.795
GETCB,CA,2007,130592.3607
WYTCB,TX,2007,89019.08957
CLTCB,CA,2007,66494.60273
HYTCB,AZ,2007,65211.38016
ELISB,TX,2007,60715.27047
WYTCB,CA,2007,55201.48123
BMTCB,AZ,2007,29070.01911
SOTCB,CA,2007,25557.10988
ELNIB,CA,2007,18782.13194
HYTCB,TX,2007,16253.61185
BMTCB,NM,2007,14471.1765
WYTCB,NM,2007,13770.77428
SOTCB,AZ,2007,3495.0368
HYTCB,NM,2007,2648.69455
GETCB,TX,2007,1485.5838
GETCB,NM,2007,732.44233
SOTCB,TX,2007,617.35487
GETCB,AZ,2007,301.53572
SOTCB,NM,2007,216.0146
ELNIB,AZ,2007,9.26931
NUETB,NM,2007,0
WYTCB,AZ,2007,0
ELNIB,NM,2007,-84.17063
ELNIB,TX,2007,-828.69524
ELISB,NM,2007,-134462.0476
ELISB,AZ,2007,-228002.7826
PMTCB,TX,2006,6090170.522
PMTCB,CA,2006,3811375.082
NNTCB,TX,2006,3549526.72
NNTCB,CA,2006,2375928.944
CLTCB,TX,2006,1610301.254
ELISB,CA,2006,912049.8287
PMTCB,AZ,2006,587686.7271
HYTCB,CA,2006,476581.963
CLTCB,AZ,2006,431984.5691
NUETB,TX,2006,430634.0052
NNTCB,AZ,2006,365229.5651
NUETB,CA,2006,333520.1688
CLTCB,NM,2006,316221.4589
PMTCB,NM,2006,268661.622
NUETB,AZ,2006,250591.6427
NNTCB,NM,2006,227660.6042
